seed,experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
43,bow__word_1_3__complement_nb,bow,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.2049917110125534,0.0192047909949906,0.5621428571428572,0.543824108768434,0.5881746031746031,0.8529563492063492,0.7807291942809678,"feature_seconds=61.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
42,bow__word_1_3__linear_svm,bow,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,258.8947502730007,0.0221341440046671,0.515436507936508,0.5142849371686895,0.6422619047619048,0.8394345238095238,0.7416674042821034,"feature_seconds=58.76; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
44,bow__word_1_3__linear_svm,bow,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,292.10879963700427,0.0235879399988334,0.5144047619047619,0.5134288678145303,0.6451587301587302,0.8387103174603174,0.7396828523589087,"feature_seconds=62.02; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
43,bow__word_1_3__linear_svm,bow,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,265.4626438500127,0.0255366879864595,0.5121825396825397,0.5104493265016659,0.6517063492063492,0.8370734126984127,0.7358133607802775,"feature_seconds=61.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
42,tfidf_char__char_wb_3_6__complement_nb,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,complement_nb,ok,0.8534165720047895,0.0764173060015309,0.5350396825396826,0.5135873984889716,0.6652380952380952,0.8336904761904762,0.7347009554858064,"feature_seconds=86.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
44,tfidf_char__char_wb_3_6__complement_nb,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,complement_nb,ok,1.1601414500037208,0.1047172500111628,0.5360714285714285,0.5140093067100994,0.6668650793650793,0.8332837301587301,0.7331398119665526,"feature_seconds=95.39; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91889611"
43,tfidf_char__char_wb_3_6__complement_nb,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,complement_nb,ok,0.898438295989763,0.0803318550169933,0.5335714285714286,0.5117349326385338,0.6678571428571428,0.8330357142857143,0.7344664155136196,"feature_seconds=89.28; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91927628"
42,fasttext__average__logreg,fasttext,fasttext average,average,logreg,ok,33.71357366902521,0.0522178309911396,0.4893253968253968,0.4844344026440479,0.7279761904761904,0.8180059523809524,0.6818847165749821,feature_seconds=98.75; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
42,fasttext__mean_max__linear_svm,fasttext,fasttext mean_max,mean_max,linear_svm,ok,237.09750816400629,0.0750215529988054,0.5046428571428572,0.4895370550274021,0.7300793650793651,0.8174801587301588,0.686795853988283,feature_seconds=97.94; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
43,fasttext__average__logreg,fasttext,fasttext average,average,logreg,ok,31.0961584780016,0.0287944870069623,0.4947222222222222,0.4878377086536176,0.7301984126984127,0.8174503968253968,0.6791956470309912,feature_seconds=99.33; vocab_cov=0.8216; token_cov=0.9847; loaded_vectors=96478
44,fasttext__mean_max__linear_svm,fasttext,fasttext mean_max,mean_max,linear_svm,ok,247.2671483019949,0.0758893629827071,0.5034920634920635,0.4884491257177693,0.7310714285714286,0.8172321428571429,0.6860691076383554,feature_seconds=102.00; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
43,fasttext__mean_max__linear_svm,fasttext,fasttext mean_max,mean_max,linear_svm,ok,240.90514434699435,0.0811546680051833,0.5040079365079365,0.4887281882130846,0.7313492063492063,0.8171626984126984,0.68611902101431,feature_seconds=99.16; vocab_cov=0.8216; token_cov=0.9847; loaded_vectors=96478
44,fasttext__average__logreg,fasttext,fasttext average,average,logreg,ok,31.05574337698636,0.0796842460113111,0.4926984126984127,0.4857338221809195,0.7357539682539682,0.8160615079365079,0.6737728123426531,feature_seconds=97.72; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
