experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
bow__word_1_2__complement_nb,bow,"word n-grams=(1, 2)",word_1_2,complement_nb,ok,30.92410665005445,2.085439406335354,0.5696428571428571,0.5506792629242468,0.5826190476190476,0.8543452380952381,0.7825202895756279,
bow__word_1_3__complement_nb,bow,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,67.85261111427099,2.7021041866391897,0.5693253968253968,0.5510480184827863,0.5840873015873016,0.8539781746031746,0.7798254633657623,
bow__word_1_1__complement_nb,bow,"word n-grams=(1, 1)",word_1_1,complement_nb,ok,11.75277144741267,1.2702318839728832,0.5360317460317461,0.5152922404569531,0.6521825396825397,0.836954365079365,0.7450233655063982,
tfidf_word__word_1_1__complement_nb,tfidf_word,"word n-grams=(1, 1)",word_1_1,complement_nb,ok,11.461023247800767,1.245757382363081,0.5331349206349206,0.5129161136055578,0.6561111111111111,0.8359722222222222,0.7425010080468435,
tfidf_char__char_wb_3_5__complement_nb,tfidf_char,"char_wb n-grams=(3, 5)",char_wb_3_5,complement_nb,ok,77.2237482983619,7.99573771469295,0.5367857142857143,0.5150996841667905,0.6662698412698412,0.8334325396825397,0.7331188041729382,
tfidf_char__char_wb_3_6__complement_nb,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,complement_nb,ok,90.46798430662602,9.4068122189492,0.5351587301587302,0.5127245027919201,0.6682539682539682,0.832936507936508,0.732697185650441,
fasttext__average__logreg,fasttext,fasttext average,average,logreg,ok,28.78949761390686,0.0783826326951384,0.4893253968253968,0.4844439509846209,0.7279761904761904,0.8180059523809524,0.6818664549029363,feature_seconds=111.21; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__mean_max__logreg,fasttext,fasttext mean_max,mean_max,logreg,ok,48.49902478978038,0.0734758982434868,0.4773809523809524,0.4712947960171291,0.7746825396825396,0.806329365079365,0.6491091883295151,feature_seconds=104.37; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__tfidf_weighted__logreg,fasttext,fasttext tfidf_weighted,tfidf_weighted,logreg,ok,26.62933475896716,0.047491549514234,0.4652777777777778,0.4592927862705637,0.7966666666666666,0.8008333333333333,0.6373940898838069,feature_seconds=108.62; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
glove__average__logreg,glove,glove average,average,logreg,ok,25.865018707700077,0.0474656401202082,0.4561111111111111,0.4493774869485076,0.8052380952380952,0.7986904761904762,0.635999848993922,feature_seconds=56.28; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
fasttext__sif__logreg,fasttext,fasttext sif,sif,logreg,ok,26.661122975870967,0.0306643927469849,0.4603968253968254,0.4550542412059608,0.8202777777777778,0.7949305555555556,0.6166985268243507,feature_seconds=116.11; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
glove__mean_max__logreg,glove,glove mean_max,mean_max,logreg,ok,51.08543475903571,0.0964243616908788,0.4455555555555555,0.4400994370092421,0.842579365079365,0.7893551587301587,0.6061642209241582,feature_seconds=51.42; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__tfidf_weighted__logreg,glove,glove tfidf_weighted,tfidf_weighted,logreg,ok,26.52440463937819,0.0583722740411758,0.437579365079365,0.4307771419005394,0.8590873015873016,0.7852281746031746,0.5996439437468798,feature_seconds=53.04; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__sif__logreg,glove,glove sif,sif,logreg,ok,28.244787056930363,0.0603787265717983,0.4276587301587302,0.4195091831099938,0.9047222222222222,0.7738194444444444,0.5660588537051718,feature_seconds=64.99; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.0095053492113947,0.0002378150820732,0.2,0.0666666666666666,2.0,0.5,0.0,Always predicts the most frequent training label.
